Agency,Application name,Primary domain,Number of users,Number of licenses,Number of government support staff,Number of contractors,Start of use date,End of use date,is-custom,is-service,Manufacturer,Product/service name,Estimated replacement cost
DJAG,Liquor Licensing System (LLS),"Authorities, Licences, Permits and Awards",100,Not reported,0,Not reported,01/07/2011 0:00,31/12/2016 0:00,Yes,No,Not reported,Oracle,1
DJAG,OLGR Data Warehouse,Customer Service and Support,300,Not reported,0.2,Not reported,01/03/2001 0:00,30/06/2015 0:00,Yes,No,Not reported,Oracle,1
DJAG,Q-Win,Customer Service,7,1,0,Not reported,01/07/2011 0:00,30/06/2021 0:00,No,No,Q-Matic,Q-Win,20000
DJAG,Funds Management System (FMS),"Subsidies, Grants, Benefits and Assistance",5,Not reported,Not reported,Not reported,01/09/2002 0:00,31/12/2016 0:00,Yes,No,Not reported,Oracle,1
DJAG,ODPP SMS,Customer Service and Support,30,1,0.1,Not reported,01/07/2011 0:00,30/06/2030 0:00,No,No,Telstra,ODPP SMS,0
DJAG,Linkworks (WHSQ EDMS),Information Submission,769,Not reported,0.05,Not reported,30/11/1995 0:00,30/06/2020 0:00,Yes,No,HP,Not reported,1
DJAG,Online Benchmarking (OFSWQ),Occupational Health and Safety Management,100000,Not reported,0.2,Not reported,01/07/2011 0:00,30/06/2021 0:00,Yes,No,Department of Justice and Attorney-General,Online Surveys,0
DJAG,ODPP Incident Logging and Management Sharepoint,Analytics,7,Not reported,0.3,Not reported,01/07/2011 0:00,30/06/2030 0:00,Yes,No,Micosoft,Sharepoint,3383
DJAG,Victim Liaison Officer Contact Register,Case Management,30,1,0.3,Not reported,01/07/2011 0:00,30/06/2020 0:00,Yes,No,Microsoft,Excel,3383
DJAG,DJAG Timesheeting,Time and Attendance,4278,Not reported,0,Not reported,1/10/2008 0:00,30/06/2021 0:00,Yes,No,Microsoft,Excel,Not reported
DJAG,Infringement Notice Register (INR),Infringement Management,30,Not reported,Not reported,Not reported,01/07/2011 0:00,30/06/2020 0:00,Yes,No,Not reported,Classic ASP 3.0,0
DJAG,Web site - OLGR Online Services,"Authorities, Licences, Permits and Awards",1000000,Not reported,1,Not reported,01/05/2010 0:00,30/06/2020 0:00,Yes,No,Not reported,Not reported,0
DJAG,iKnow,"Call Centre, Help Desk",18,Not reported,0.65,Not reported,16/03/2011 0:00,30/06/2021 0:00,Yes,No,Department of Justice and Attorney-General,Not reported,0
DJAG,ESO Cathodic,Registrations and Inspections,5,Not reported,0.6,Not reported,24/02/2002 0:00,30/06/2015 0:00,No,No,Department of Justice and Attorney-General,Not reported,0
DJAG,Information Management System (IMS),Case Management,66,Not reported,0.5,Not reported,04/08/2005 0:00,30/06/2015 0:00,No,No,Not reported,Not reported,0
DJAG,IPAY,Customer Service,20,Not reported,0.6,Not reported,05/04/2011 0:00,30/06/2021 0:00,Yes,No,Department of Justice and Attorney-General,Not reported,0
DJAG,Records (OFSWQ),Document and Records Management,5,Not reported,0.1,Not reported,23/08/2008 0:00,30/06/2021 0:00,Yes,No,Department of Justice and Attorney-General,Not reported,0
DJAG,WASP,Information Provision,15,Not reported,0.2,Not reported,12/06/2010 0:00,30/06/2021 0:00,Yes,No,Department of Justice and Attorney-General,Not reported,0
DJAG,Web Review (WEBR),Information Provision,10,Not reported,0,Not reported,11/07/2008 0:00,30/06/2021 0:00,Yes,No,Department of Justice and Attorney-General,Not reported,Not reported
DJAG,Resolve - Victim Assist Queensland,Case Management,40,40,0.25,Not reported,1/12/2009 0:00,30/06/2020 0:00,No,No,Resolve Software,Resolve,0
DJAG,Resolve - Criminal Injuries Compensation Unit,Case Management,2,2,0.02,Not reported,1/11/2007 0:00,30/06/2020 0:00,No,No,Resolve Software,Resolve,1
DJAG,Resolve - Office of the Adult Guardian,Case Management,120,77,0.7,Not reported,15/08/2011 0:00,30/06/2020 0:00,Yes,No,Resolve Software Group Pty,Custom,450000
DJAG,Body Corporate & Community Management (BCCM) Templates,Document and Records Management,33,Not reported,0.07,Not reported,01/07/1995 0:00,30/06/2019 0:00,Yes,No,Microsoft,Office,Not reported
DJAG,Department of Justice (DJAG) Templates,Case Management,4552,Not reported,0.07,Not reported,01/07/1995 0:00,30/06/2021 0:00,Yes,No,Department of Justice and Attorney-General,Office,Not reported
DJAG,eDOCS - Coroners,Financial Management,121,1,0.07,Not reported,01/03/2008 0:00,30/06/2020 0:00,No,No,Open Text,eDOCS,Not reported
DJAG,Court List Display - System,Information Provision,50,Not reported,0.15,Not reported,23/11/2007 0:00,01/06/2024 0:00,Yes,No,Department of Justice and Attorney-General,.Net Framework,Not reported
DJAG,JPs Shopping Cart,Customer Marketing,100000,0,0.07,0,01/07/1995 0:00,31/08/2021 0:00,Yes,No,Department of Justice and Attorney-General,Classic ASP 3.0,Not reported
DJAG,Queensland Charities and Associations Online Register,Information Provision,100000,Not reported,0.08,Not reported,29/03/2010 0:00,30/06/2030 0:00,Yes,No,Department of Justice and Attorney-General,.Net Framework,150000
DJAG,Tribunals List Display System,Information Provision,11,Not reported,0.07,Not reported,15/11/2009 0:00,30/06/2020 0:00,Yes,No,Department of Justice and Attorney-General,.Net Framework,Not reported
DJAG,Genesys Contact - OCB CMS,Case Management,20,20,0.07,Not reported,01/02/2008 0:00,30/06/2021 0:00,Yes,No,Genesys,Custom,Not reported
DJAG,Ministerial Tracking (Mintrak),Document and Records Management,15,Not reported,0.07,Not reported,01/07/1995 0:00,30/06/2020 0:00,Yes,No,KnowledgeOne,Classic ASP 3.0,Not reported
DJAG,Genesys  contact - Legal Services OGC CMS,Case Management,15,15,0.07,Not reported,01/01/2009 0:00,30/06/2021 0:00,Yes,No,Genesys,Custom,Not reported
DJAG,TeamMate,Customer Service,11,13,0.07,Not reported,1/10/2007 0:00,30/06/2030 0:00,No,No,Wolters Kluwer,TeamMate Suite,102889
DJAG,Genesys contact - RTI & Privacy CMS,Case Management,24,24,0.07,Not reported,01/07/2009 0:00,30/06/2030 0:00,Yes,No,Genesys,Custom,0
DJAG,Legal Services Commission (LSC) CMS,Case Management,20,20,0.07,Not reported,01/05/2004 0:00,30/06/2021 0:00,Yes,No,Genesys,Custom,Not reported
DJAG,ELI (Internet and Intranet Electrical Licensing Pages),"Authorities, Licences, Permits and Awards",100000,Not reported,0.45,Not reported,10/08/2004 0:00,30/06/2020 0:00,Yes,No,Department of Justice and Attorney-General,ELI,375000
DJAG,Web CC - WHSQ Lutwyche,Customer Service and Support,30,22,0,Not reported,01/07/2011 0:00,30/06/2021 0:00,No,No,Telstra,WebCC,Not reported
DJAG,Web CC - OLGR,Customer Service,10,10,Not reported,Not reported,06/02/2012 0:00,30/06/2015 0:00,No,No,Telstra,WebCC,0
DJAG,Web CC - Courts Service Centre,Customer Service,13,13,0.05,Not reported,01/07/2010 0:00,30/06/2019 0:00,No,No,Telstra,WebCC,Not reported
DJAG,Web CC - DJAG IT Service Desk,Customer Service,11,14,Not reported,Not reported,01/07/2011 0:00,30/06/2021 0:00,No,No,Telstra,WebCC,Not reported
DJAG,Electronic Trials,Document and Records Management,50,0,1.2,Not reported,01/07/2011 0:00,30/06/2019 0:00,Yes,No,Department of Justice and Attorney-General,Sharepoint,Not reported
DJAG,MACS Market Accreditation and Compliance System,"Authorities, Licences, Permits and Awards",380,40,1.5,2.5,10/06/2003 0:00,30/06/2020 0:00,Yes,No,CITEC/Ajilon,Oracle,10000000
DJAG,RecFind (OFSWQ),Document and Records Management,5,Not reported,0.07,Not reported,01/07/2009 0:00,30/06/2019 0:00,Yes,No,KnowledgeOne,Custom,Not reported
DJAG,Coroners Case Management System (CCMS),Case Management,50,Not reported,Not reported,Not reported,20/10/2009 0:00,30/06/2022 0:00,Yes,No,Department of Justice and Attorney-General,.Net Framework (WPF),Not reported
DJAG,Web CC - RBDM,Customer Service,10,10,0,Not reported,01/07/2011 0:00,30/06/2021 0:00,No,No,Telstra,WebCC,250000
DJAG,QCIVIL Lawlist Database,Information Submission,80,Not reported,0.1,Not reported,01/07/2011 0:00,30/06/2019 0:00,Yes,No,Department of Justice and Attorney-General,.NET Framework,Not reported
DJAG,QCIVIL Reporting Server,Information Provision,50,Not reported,0.05,Not reported,01/07/2011 0:00,30/06/2019 0:00,Yes,No,Not reported,Cystal Reporting Server,Not reported
DJAG,CDRS Claims and Debt Recoveries System,Case Management,12,Not reported,0.3,0.03,01/07/2002 0:00,01/07/2017 0:00,Yes,No,Microsoft,MS Access,382500
DJAG,Plant on-line,"Authorities, Licences, Permits and Awards",100000,Not reported,0.35,Not reported,23/02/2012 0:00,30/06/2022 0:00,Yes,No,Department of Justice and Attorney-General,Not reported,0
DJAG,Internet Compliance and Investigation System,Registrations and Inspections,100000,Not reported,1,0,10/08/2002 0:00,30/06/2020 0:00,Yes,No,Department of Justice and Attorney-General,Not reported,0
DJAG,eDOCS - Coroners Training,Computer Based Training,121,1,Not reported,Not reported,01/03/2008 0:00,30/06/2020 0:00,No,No,Open Text,eDOCS,Not reported
DJAG,eDOCS - DJAG Training,Document and Records Management,4200,1,0.07,Not reported,01/03/2008 0:00,30/06/2020 0:00,No,No,Open Text,eDOCS,Not reported
DJAG,eDOCS Transcript Library,Customer Service and Support,314,1,Not reported,Not reported,01/07/2008 0:00,30/06/2020 0:00,Yes,No,Open Text,eDOCS,Not reported
DJAG,Vision 6 service,"Product, Service Development and Marketing",6,Not reported,0,Not reported,01/07/2011 0:00,30/06/2021 0:00,No,No,Vision 6,Vision 6,0
DJAG,FAMYJ,Case Management,1500,Not reported,Not reported,Not reported,31/12/1998 0:00,31/12/2017 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services","Department of Communities, Child Safety and Disability Services",0
DJAG,Integrated Client Management System,Case Management,500,Not reported,Not reported,Not reported,26/03/2007 0:00,30/11/2019 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services","Department of Communities, Child Safety and Disability Services",0
DJAG,Civil Listing and Information Management System (CLAIMS),Case Management,750,0,0.4,Not reported,01/07/2004 0:00,30/06/2016 0:00,Yes,No,Department of Justice and Attorney-General,CLAIMS,2500000
DJAG,eDOCS - Crown Law (previously referred to as CLDM5),Document and Records Management,200,300,0.45,Not reported,12/05/2005 0:00,1/10/2017 0:00,Yes,No,Open Text,eDOCS,1000000
DJAG,Integrated Criminal Justice (ICJ) Service - Electronic Transfer of Court Results,Information Provision,90000,0,1.35,Not reported,01/02/2009 0:00,30/06/2024 0:00,Yes,No,CITEC,ETCR,0
DJAG,Integrated Criminal Justice (ICJ) Service - Enhanced Court List Query (eCLQ),Information Provision,300,0,0.55,0.06,01/06/2006 0:00,30/06/2024 0:00,Yes,No,CITEC,eCLQ,0
DJAG,Integrated Criminal Justice (ICJ) Service - Notifications,Information Provision,90000,Not reported,0.15,Not reported,10/07/2008 0:00,30/06/2024 0:00,Yes,No,Not reported,Notifications,0
DJAG,Integrated Criminal Justice (ICJ) Service - Information Exchange Framework (IEF) Hub,Information Submission,90000,Not reported,0.15,Not reported,01/07/2008 0:00,30/06/2024 0:00,Yes,No,CITEC,Hub,0
DJAG,Integrated Criminal Justice (ICJ) Service - Out of Phase Offender Linking (OFL),Information Submission,90000,Not reported,0.03,Not reported,01/09/2009 0:00,30/06/2024 0:00,Yes,No,CITEC,OFL,Not reported
DJAG,Integrated Criminal Justice (ICJ) Service - Reference Data Management (RDM),Information Submission,90000,Not reported,0.03,Not reported,01/07/2008 0:00,30/06/2024 0:00,Yes,No,Not reported,RDM,0
DJAG,Integrated Criminal Justice (ICJ) Service - Test Console,Information Submission,3,Not reported,0.05,Not reported,01/07/2008 0:00,30/06/2024 0:00,Yes,No,CITEC,TEST CONSOLE,Not reported
DJAG,Integrated Criminal Justice (ICJ) Service - Transfer Bench Charge Sheets (TBCS),Information Submission,90000,Not reported,0.78,0.1,01/06/2005 0:00,30/06/2024 0:00,Yes,No,Not reported,TBCS,0
DJAG,OLGR eDocs,Customer Service and Support,360,1,Not reported,Not reported,01/07/2011 0:00,30/06/2030 0:00,No,No,Open Text,eDocs,0
DJAG,OLGR Grants Management System (OLGR Service),"Subsidies, Grants, Benefits and Assistance",30,Not reported,0,Not reported,01/09/2009 0:00,30/06/2020 0:00,Yes,No,SAP,RMS,0
DJAG,Dalet Recordings Archive,Information Provision,10,Not reported,0.01,Not reported,01/07/2013 0:00,30/06/2019 0:00,Yes,No,Department of Justice and Attorney-General,In House Developed Solution,100000
DJAG,AAA (Advisory and Assessment),Payroll,40,Not reported,0.9,Not reported,01/07/2012 0:00,30/06/2021 0:00,Yes,No,Department of Justice and Attorney-General,Not reported,Not reported
DJAG,RAPS Assessor Portal (RLP),Accreditation,100000,0,0.35,Not reported,01/07/2013 0:00,30/06/2021 0:00,Yes,No,CITEC,Not reported,Not reported
DJAG,Online Assessment Tool (Benchline),Marketing and Advocacy,Not reported,Not reported,0.2,Not reported,01/07/2013 0:00,01/07/2021 0:00,No,No,Vision 6,Not reported,Not reported
DJAG,Skills Maintenance,Case Management,Not reported,Not reported,0.2,Not reported,01/07/2013 0:00,01/07/2021 0:00,No,No,DPW,Not reported,Not reported
DJAG,Smart Forms Processor  (SFP),Case Management,Not reported,Not reported,0.2,Not reported,01/07/2013 0:00,01/07/2021 0:00,No,No,Department of Justice and Attorney-General,Not reported,Not reported
DJAG,RAPS Renewals Process (RRP),Accreditation,100000,0,0.35,Not reported,01/07/2013 0:00,30/06/2021 0:00,Yes,No,CITEC,Not reported,Not reported
DJAG,Fire Tracking System (FTS),Investigations Management,Not reported,Not reported,0.05,Not reported,01/07/2013 0:00,01/07/2021 0:00,No,No,Department of Justice and Attorney-General,Not reported,Not reported
DJAG,OLGR Business Intelligence,Enterprise Business Intelligence,300,Not reported,0.98,Not reported,01/07/2013 0:00,30/06/2020 0:00,No,No,Oracle,OBIEE,0
DJAG,InfoView BAM,Budgeting,4278,Not reported,0.29,Not reported,01/08/2011 0:00,06/01/2019 0:00,No,No,InfoView Technologies Pty Ltd,Not reported,Not reported
DJAG,Data Requirements Exchange Process (DR),Accreditation,20,Not reported,0.05,Not reported,01/05/2013 0:00,30/06/2020 0:00,Yes,No,Not reported,Oracle,0
DJAG,DCOIS,Case Management,900,Not reported,Not reported,Not reported,26/02/2011 0:00,26/03/2018 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services","Department of Communities, Child Safety and Disability Services",0
DJAG,QUEST,Case Management,13,Not reported,Not reported,Not reported,30/09/2002 0:00,30/11/2015 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services","Department of Communities, Child Safety and Disability Services",0
DJAG,Youth and Family Support Service Client Information System,Case Management,12,Not reported,Not reported,Not reported,30/06/2002 0:00,30/11/2015 0:00,Yes,No,"Department of Communities, Child Safety and Disability Services","Department of Communities, Child Safety and Disability Services",0
DJAG,eDOCS OFT,"Call Centre, Help Desk",206,1,Not reported,Not reported,30/06/2014 0:00,30/06/2020 0:00,No,No,Open Text,eDOCS,0
DJAG,Q-COMP Intelligence (QI),"Authorities, Licences, Permits and Awards",120,Not reported,0,Not reported,01/07/2011 0:00,01/06/2020 0:00,Yes,No,Department of Justice and Attorney-General,Q-COMP Intelligence (QI),Not reported
DJAG,Q-COMP Core System (QCS),Constituent Services,12,Not reported,0,Not reported,01/07/2003 0:00,01/07/2015 0:00,Yes,No,Department of Justice and Attorney-General,Q-COMP Core System (QCS),Not reported
DJAG,Q-COMP Scheme Analysis (QSA),Information Submission,15,Not reported,0,Not reported,01/07/2003 0:00,01/06/2020 0:00,Yes,No,Department of Justice and Attorney-General,Q-COMP Scheme Analysis (QSA),Not reported
DJAG,Online services (OLS),Registrations and Inspections,1000,Not reported,0.2,Not reported,01/04/2013 0:00,01/06/2020 0:00,Yes,No,Department of Justice and Attorney-General,Online services (OLS),Not reported
DJAG,Online Awards nomination system,Library Management,500,Not reported,0,Not reported,01/04/2010 0:00,01/06/2020 0:00,Yes,No,Department of Justice and Attorney-General,Online Awards nomination system,Not reported
DJAG,Accellion,Constituent Services,48,49,Not reported,Not reported,30/06/2013 0:00,30/06/2019 0:00,No,No,Not reported,QCPDOCS01,Not reported
DJAG,Service Outlook,Information Submission,180,180,Not reported,Not reported,30/06/2013 0:00,30/06/2019 0:00,No,No,Not reported,Not reported,Not reported
DJAG,MobileIron,Constituent Services,163,185,0,Not reported,30/06/2013 0:00,30/06/2019 0:00,No,No,Not reported,Not reported,Not reported
DJAG,MailStore,Constituent Services,120,140,0,Not reported,30/06/2013 0:00,30/06/2019 0:00,No,No,Not reported,QCPMailStore01,Not reported
DJAG,HP Record manager (TRIM),Case Management,120,175,0,Not reported,30/06/2013 0:00,30/06/2019 0:00,No,No,Not reported,WCRRM01 /  WCRRM02,Not reported
DJAG,Harmony,Constituent Services,5,5,0,Not reported,30/06/2013 0:00,30/06/2019 0:00,No,No,Not reported,Not reported,Not reported
DJAG,SAS,Information Provision,5,15,Not reported,Not reported,30/06/2013 0:00,30/06/2019 0:00,No,No,Not reported,QCPSAS02,Not reported
DJAG,eDOCS - DJAG,Document and Records Management,4200,1,0.07,Not reported,01/03/2008 0:00,30/06/2020 0:00,Yes,No,Open Text,eDOCS,Not reported
DJAG,HRMS Payroll Archive,Human Capital Management,4,Not reported,Not reported,Not reported,31/12/1999 0:00,31/12/2018 0:00,Yes,No,Corporate Service Agency,HRMS Payroll Archive,Not reported
DJAG,Justice of the Peace (JP) System,Accreditation,18,Not reported,0.07,Not reported,01/06/2005 0:00,30/06/2030 0:00,Yes,No,Department of Justice and Attorney-General,.Net Framework,Not reported
DJAG,ACE; Human Resources Mgmt/Payroll,Payroll,4858,4858,Not reported,Not reported,05/01/1999 0:00,01/06/2018 0:00,No,No,Aurion,Aurion,Not reported
DJAG,Mediation Organiser,Case Management,116,Not reported,0.07,Not reported,19/06/2008 0:00,06/01/2019 0:00,Yes,No,Department of Justice and Attorney-General,.Net Framework,Not reported
DJAG,QWIC,Case Management,1000,Not reported,2.5,Not reported,01/07/2000 0:00,01/06/2024 0:00,Yes,No,Department of Justice and Attorney-General,Queensland Wide Interlinked Courts,Not reported
DJAG,Renewable and Photographic Licensing (RAPS),"Authorities, Licences, Permits and Awards",15,Not reported,0.35,Not reported,20/05/2008 0:00,30/06/2021 0:00,Yes,No,Department of Justice and Attorney-General,RAPS,Not reported
DJAG,QTP; Financial Mgmt,Financial Management,2,Not reported,Not reported,Not reported,01/01/1990 0:00,01/06/2015 0:00,No,No,SAP,R/3,Not reported
DJAG,QTP; Human Resources Mgmt/Payroll,Human Capital Management,4,Not reported,Not reported,Not reported,01/01/1990 0:00,30/06/2015 0:00,No,No,SAP,ERP,Not reported
DJAG,FYP; Human Resources Mgmt/Payroll,Payroll,4,Not reported,Not reported,Not reported,01/01/1990 0:00,01/06/2018 0:00,No,No,SAP,ERP,Not reported
DJAG,CBP; Business Warehouse,Information Provision,750,Not reported,0.1,0,01/01/2000 0:00,01/06/2018 0:00,No,No,SAP,ECC,Not reported
DJAG,CEP; Financial Mgmt,Sourcing and Procurement,750,Not reported,0.05,0.07,01/01/2000 0:00,01/06/2016 0:00,No,No,SAP,ECC,Not reported
DJAG,Resolve (Complaints),Event Management,4744,10,0,0,01/02/2007 0:00,30/06/2016 0:00,Yes,No,Resolve Pty Ltd,Resolve,120000
DJAG,Standard HR Offering Service Lattice v3.1,Employee Administration,180,105,0,0,07/01/1995 0:00,06/01/2019 0:00,Yes,No,Talent2,Lattice,79205000
DJAG,Wise.NET - [IS],Accreditation,10,0,0,0,01/06/2002 0:00,01/01/2015 0:00,No,No,Wisenet,Wisenet,0
DJAG,PTAS,Inventory Management,278,0,0.2,0,01/01/2011 0:00,01/01/2021 0:00,Yes,No,Inhouse,Inhouse,1052660
DJAG,Advance2Work - [IS],Computer Based Training,30,0,0.1,0,01/01/2006 0:00,01/08/2014 0:00,Yes,No,Custom,Custom,261888
DJAG,Integrated Offender Management System,Event Management,4744,0,6.87,0,15/08/2005 0:00,1/10/2019 0:00,Yes,No,QCS,QCS,13854973
DJAG,Knowledge Place - [IS],Knowledge Management,4744,90,0.2,0,01/01/2005 0:00,01/06/2015 0:00,Yes,No,QCS,Custom,1728458
DJAG,Microster,Rostering,80,50,0,0,06/01/1998 0:00,01/01/2018 0:00,No,No,Microster Pty Ltd,Microster,511000
DJAG,QCS Portal,Knowledge Management,4744,0,0.54,0,03/01/2002 0:00,30/06/2020 0:00,Yes,No,QCS,Custom,0
DJAG,Quality Centre - [IS],Risk and Issue Management,8,8,0,0,01/02/2008 0:00,01/01/2017 0:00,Yes,No,HP,Product,60758
DJAG,VDO Vehicle Tracking - [IS],Event Management,5,0,0,0,01/02/2001 0:00,01/02/2020 0:00,No,No,Fleet manager,SGESCO,52378
DJAG,RecFind 6.0 (QCS) - [IS],Document and Records Management,1000,89,0,0,1/11/2012 0:00,01/01/2017 0:00,Yes,No,Knowledgeone,Knowledgeone,122563
DJAG,GPS Offender Monitoring,Case Management,104,20,0,0,28/09/2011 0:00,28/09/2015 0:00,Yes,No,3M Track and Trace Solutions,Supply of GPS based offender monitoring technology,2230004
DJAG,AuthorIT - [IS],Computer Based Training,2,4,0,0,01/01/2005 0:00,21/09/2015 0:00,No,No,Author-it Software Corporation,Author-IT,6369
DJAG,InfoAware2 - [IS],Computer Based Training,4744,1,0,0,01/09/2007 0:00,01/01/2025 0:00,No,No,Safecoms,Infoaware,26189
DJAG,QCS iBase,Event Management,16,16,0.03,0,01/01/2013 0:00,01/06/2015 0:00,No,No,Visual Analysis,i2 ibase,531440
DJAG,ROADS - [IS],Computer Based Training,25,0,0.03,0,01/07/2013 0:00,01/07/2018 0:00,Yes,No,Custom,Custom,419020
DJAG,OPAS - [IS],Information Submission,1,0,0,0,01/01/2007 0:00,1/12/2016 0:00,Yes,No,QCS,OPAS,31427
DJAG,DCS Financials (QCS) - [IS],Information Provision,1315,0,0,0,01/01/2001 0:00,01/06/2015 0:00,Yes,No,QCS,DCS Financials,261888
DJAG,Keys (QCS),Information Provision,20,8,0,0,01/01/2014 0:00,01/06/2015 0:00,Yes,No,Macksam Consultancy Pty Ltd / QCS,Keys Budgeting System,20951
DJAG,DMS,Information Provision,3,Not reported,Not reported,Not reported,29/01/2015 0:00,30/06/2030 0:00,No,No,Internal,DMS,30000
DJAG,BRS,Registrations and Inspections,100000,Not reported,Not reported,Not reported,04/02/2015 0:00,30/06/2030 0:00,No,No,KE Software,qldBirthsClient,80000
DJAG,Orders,Sales,100000,Not reported,Not reported,Not reported,09/07/2014 0:00,30/06/2030 0:00,No,No,Internal,Orders,10000
DJAG,QFleet client access (CAS),Fleet Management,84,Not reported,Not reported,Not reported,01/07/1995 0:00,30/06/2030 0:00,No,No,unknown,CAS,0
DJAG,Fleetscape,Fleet Management,7,Not reported,Not reported,Not reported,01/07/1995 0:00,30/06/2030 0:00,No,No,unknown,Fleetscape,0
DJAG,Betasphere,Fleet Management,94,Not reported,Not reported,Not reported,01/07/1995 0:00,30/06/2030 0:00,No,No,unknown,Betasphere,0
DJAG,Utilisation Management System (UMS),Fleet Management,Not reported,Not reported,Not reported,Not reported,01/07/1995 0:00,30/06/2030 0:00,No,No,unknown,UMS,0
DJAG,Caltex - My Star Cards,Fleet Management,6,Not reported,Not reported,Not reported,01/07/1995 0:00,30/06/2030 0:00,No,No,unknown,MyStarcards,0
DJAG,BP Plus,Fleet Management,6,Not reported,Not reported,Not reported,01/07/1995 0:00,30/06/2030 0:00,No,No,unknown,BP Plus,0
DJAG,Shell fuel cards,Fleet Management,4,Not reported,Not reported,Not reported,01/07/1995 0:00,30/06/2030 0:00,No,No,unknown,Shell Cards Online,0
DJAG,goVia,Fleet Management,5,Not reported,Not reported,Not reported,01/07/1995 0:00,30/06/2030 0:00,No,No,unknown,goVia,0
DJAG,SGS ID cards,Employee Administration,3,Not reported,Not reported,Not reported,01/07/1995 0:00,30/06/2030 0:00,No,No,unknown,SGS ID Cards,0
DJAG,IPG Connect 2,Employee Administration,137,Not reported,Not reported,Not reported,01/07/1995 0:00,30/06/2030 0:00,No,No,unknown,IPG Connect 2,0
DJAG,MYOB,Inventory Management,130,45,Not reported,Not reported,01/07/2014 0:00,30/06/2030 0:00,No,No,MYOB,MYOB,0
DJAG,Funeral Benefits Trust Fund,Payments,11,Not reported,Not reported,Not reported,01/01/1999 0:00,01/07/2016 0:00,Yes,No,Microsoft,MS Excel,100000
DJAG,Legal Action Register (LAR),Infringement Management,15,Not reported,Not reported,Not reported,01/01/1999 0:00,01/07/2016 0:00,Yes,No,Microsoft,MS Excel,90000
DJAG,Jigsaw - Office of the Adult Guardian,Case Management,180,180,Not reported,Not reported,01/06/2009 0:00,30/06/2020 0:00,Yes,No,Microsoft,Dynamics CRM,1000000
DJAG,ServiceNow,Customer Support,4744,25,0.01,0,01/03/2015 0:00,28/02/2016 0:00,Yes,No,ServiceNow,ServiceNow,120000
DJAG,BORIS,Case Management,4744,5000,0.02,0,01/07/2014 0:00,19/10/2020 0:00,Yes,No,Argus Global,BORIS,1070559
DJAG,CMEDocs,Constituent Services,Not reported,Not reported,Not reported,Not reported,01/04/2006 0:00,30/06/2016 0:00,Yes,No,Digicon,Content management system,Not reported
DJAG,Digitisation Console,Constituent Services,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,No,No,Not reported,Not reported,Not reported
DJAG,Eris,Information Submission,15,0,Not reported,Not reported,01/07/2014 0:00,30/06/2030 0:00,Yes,No,Not reported,Not reported,30000
DJAG,Fines Online,Payments,2,Not reported,Not reported,Not reported,01/07/2010 0:00,30/06/2030 0:00,No,No,Not reported,Fines Online,Not reported
DJAG,Qtender,Sourcing and Procurement,8,Not reported,Not reported,Not reported,01/09/2009 0:00,30/06/2030 0:00,No,No,HPW,Qtender,Not reported
DJAG,Tridata,Financial Management,3,Not reported,Not reported,Not reported,30/06/2008 0:00,30/06/2030 0:00,No,No,Treasury,Tridata,Not reported
DJAG,WEA,Constituent Services,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,No,No,Not reported,Not reported,Not reported
DJAG,WEA BSSU,Constituent Services,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,No,No,Not reported,Not reported,Not reported
DJAG,TLVs BEIs,Constituent Services,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,No,No,ACGIH,TLVs and BEIs,Not reported
DJAG,ANZAC Day Trust,Constituent Services,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,No,No,Not reported,Not reported,Not reported
DJAG,BCCM External Decisions,Case Management,10,Not reported,Not reported,Not reported,01/07/2007 0:00,30/06/2020 0:00,Yes,No,Microsoft,Access,Not reported
DJAG,Enforceable Undertakings,Constituent Services,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,No,No,Not reported,Not reported,Not reported
DJAG,ESJ Tracking,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,No,No,Not reported,Not reported,Not reported
DJAG,ESU,Constituent Services,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,No,No,Not reported,Not reported,Not reported
DJAG,Finance Payroll,Financial Management,10,Not reported,Not reported,Not reported,20/06/2008 0:00,01/07/2020 0:00,Yes,No,Microsoft,MS Access,30000
DJAG,Incident Trends,Constituent Services,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Yes,No,Microsoft,MS Access,Not reported
DJAG,Liquor Accords,Partner Relationship Management,15,Not reported,Not reported,Not reported,01/07/2009 0:00,01/07/2020 0:00,Yes,No,Microsoft,MS Access,25000
DJAG,PAMPD,Financial Management,2,Not reported,Not reported,Not reported,01/07/2010 0:00,30/06/2030 0:00,Yes,No,OFT,MS Access,Not reported
DJAG,Qprime,Investigations Management,5,Not reported,Not reported,Not reported,01/02/2012 0:00,30/06/2016 0:00,Yes,No,Microsoft,MS Access,250000
